"date","swe","Q"
2001-04-28,10.8,124
2001-05-28,14.2,1170
2001-06-28,17.1,632
2001-07-28,21.3,181
2001-08-28,6,45.5
2001-09-28,0,53.9
2001-10-28,0,54.8
2001-11-28,0,46.5
2001-03-29,9.1,32
2001-04-29,11,138
2001-05-29,NA,1370
2001-06-29,17.5,594
2001-07-29,21,180
2001-08-29,5.4,50.1
2001-09-29,0,58.8
2001-10-29,0,52.6
2001-11-29,0,45.4
2001-03-30,9.2,36.9
2001-04-30,11.1,150
2001-05-30,NA,1460
2001-06-30,18,537
2001-07-30,20.9,172
2001-08-30,4.3,89.1
2001-09-30,0,58.4
2001-10-30,0,55.3
2001-11-30,0,45.5
2001-03-31,9.9,38.7
2001-05-31,NA,1270
2001-07-31,NA,170
2001-08-31,3.4,63.8
2001-10-31,0,48.1
2002-03-01,4.4,10.1
2002-04-01,5.8,33.4
2002-05-01,7.8,68
2002-06-01,12,547
2002-07-01,14.2,181
2002-08-01,12.6,157
2002-09-01,0.5,28.1
2002-10-01,0,38.5
2002-11-01,0,10.5
2002-12-01,0,32.6
2002-03-02,4.4,10.1
2002-04-02,5.8,32.3
2002-05-02,8.1,111
2002-06-02,12.1,608
2002-07-02,14,184
2002-08-02,12.5,146
2002-09-02,0,26.1
2002-10-02,0,47.4
2002-11-02,0,17.5
2002-12-02,0,29.5
2002-03-03,4.4,10.5
2002-04-03,6,23.9
2002-05-03,8.1,107
2002-06-03,12.2,644
2002-07-03,13.9,177
2002-08-03,12.4,150
2002-09-03,0,24.9
2002-10-03,0,44
2002-11-03,0,43.4
2002-12-03,0,21.4
2002-03-04,4.4,7.91
2002-04-04,6.1,19.6
2002-05-04,8.1,101
2002-06-04,12.4,638
2002-07-04,13.6,160
2002-08-04,12.1,180
2002-09-04,0,26
2002-10-04,0,49.9
2002-11-04,0,28.2
2002-12-04,0,22.7
2002-03-05,4.8,21
2002-04-05,6.1,20.2
2002-05-05,8.1,109
2002-06-05,12.4,571
2002-07-05,13,105
2002-08-05,11.7,174
2002-09-05,0,28.1
2002-10-05,0,47.3
2002-11-05,0,29.8
2002-12-05,0,31.1
2002-03-06,4.9,34.8
2002-04-06,6.1,23.8
2002-05-06,8.1,123
2002-06-06,12.5,423
2002-07-06,12.8,58.5
2002-08-06,11.5,191
2002-09-06,0,50.3
2002-10-06,0,46.3
2002-11-06,0,28.3
2002-12-06,0,58.9
2002-03-07,5.2,33
2002-04-07,6.2,26.3
2002-05-07,8.1,145
2002-06-07,12.5,462
2002-07-07,12.6,68.5
2002-08-07,10.8,209
2002-09-07,0,40.5
2002-10-07,0,45.8
2002-11-07,0,24.6
2002-12-07,0,51.5
2002-03-08,5.3,32.7
2002-04-08,6.2,27.3
2002-05-08,8.1,231
2002-06-08,12.9,487
